Date,Open,High,Low,Close,Adj Close,Volume
15/02/2017,28270.10938,28382.32031,28102.23047,28155.56055,28155.56055,17800
16/02/2017,28223.84961,28327.83984,28146.18945,28301.26953,28301.26953,9700
17/02/2017,28670.42969,28726.25977,28410.91016,28468.75,28468.75,15000
20/02/2017,28481.91016,28696.5293,28419.26953,28661.58008,28661.58008,8900
21/02/2017,28716.69922,28801,28597.33008,28761.58984,28761.58984,8400
22/02/2017,28822.40039,28963.51953,28789.30078,28864.71094,28864.71094,16300
23/02/2017,28927.66992,29065.31055,28860.46094,28892.9707,28892.9707,18400
27/02/2017,28910.5,28961.83008,28791.18945,28812.88086,28812.88086,12000
28/02/2017,28825.18945,28876.53906,28721.11914,28743.32031,28743.32031,10700
01/03/2017,28849.03906,29029.16992,28824.16992,28984.49023,28984.49023,14600
02/03/2017,29117.38086,29145.61914,28784.31055,28839.78906,28839.78906,10800
03/03/2017,28827.5,28860.13086,28716.21094,28832.44922,28832.44922,9300
06/03/2017,28859.21094,29070.19922,28856.11914,29048.18945,29048.18945,12100
07/03/2017,29092.16016,29098.16992,28957.67969,28999.56055,28999.56055,9700
08/03/2017,29021.06055,29022.32031,28815.48047,28901.93945,28901.93945,16300
09/03/2017,28909.69922,28986.7207,28815.01953,28929.13086,28929.13086,401500
10/03/2017,29006,29076.63086,28851.03906,28946.23047,28946.23047,15900
14/03/2017,29437.23047,29561.92969,29356.05078,29442.63086,29442.63086,29200
15/03/2017,29452.85938,29500.08008,29358.91016,29398.10938,29398.10938,392500
16/03/2017,29482.83008,29614.78906,29482.83008,29585.84961,29585.84961,18400
17/03/2017,29755.74023,29824.61914,29601.85938,29648.99023,29648.99023,14500
20/03/2017,29653.53906,29699.48047,29482.40039,29518.74023,29518.74023,400800
21/03/2017,29525.88086,29585.05078,29380.14063,29485.44922,29485.44922,11500
22/03/2017,29341.41016,29341.41016,29137.48047,29167.67969,29167.67969,14700
23/03/2017,29201.00977,29373.78906,29198.08008,29332.16016,29332.16016,26000
24/03/2017,29350.59961,29539.84961,29350.16992,29421.40039,29421.40039,21000
27/03/2017,29395.67969,29420.69922,29163.53906,29237.15039,29237.15039,15100
28/03/2017,29301.2207,29442.17969,29301.2207,29409.51953,29409.51953,33500
29/03/2017,29463.00977,29554.39063,29439.41992,29531.42969,29531.42969,41600
30/03/2017,29538.0293,29684.53906,29521.65039,29647.41992,29647.41992,15700
31/03/2017,29633.91016,29687.64063,29552.60938,29620.5,29620.5,11800
03/04/2017,29737.73047,29926.93945,29705.7207,29910.2207,29910.2207,10100
05/04/2017,29996.0293,30007.48047,29817.68945,29974.24023,29974.24023,11200
06/04/2017,29946.89063,29954.25,29817.58984,29927.33984,29927.33984,11300
07/04/2017,29850.71094,29886.11914,29668.44922,29706.60938,29706.60938,14700
10/04/2017,29752.61914,29831.32031,29553.03906,29575.74023,29575.74023,10700
11/04/2017,29630.06055,29804.50977,29570.58008,29788.34961,29788.34961,10800
12/04/2017,29838.82031,29838.82031,29549.74023,29643.48047,29643.48047,8500
13/04/2017,29637.11914,29660.48047,29442.25977,29461.44922,29461.44922,10700
17/04/2017,29470.26953,29494.08008,29363.2793,29413.66016,29413.66016,6700
18/04/2017,29487.7793,29701.18945,29286.38086,29319.09961,29319.09961,12100
19/04/2017,29369.90039,29388.25,29241.48047,29336.57031,29336.57031,11600
20/04/2017,29358.58984,29453.06055,29341.67969,29422.39063,29422.39063,14600
21/04/2017,29575.66016,29584.33984,29259.41992,29365.30078,29365.30078,11300
24/04/2017,29407.67969,29681.33008,29392.99023,29655.83984,29655.83984,8900
25/04/2017,29825.14063,29961.82031,29780.83984,29943.24023,29943.24023,8600
26/04/2017,30030.19922,30167.08984,29968.57031,30133.34961,30133.34961,10900
27/04/2017,30141.39063,30184.2207,29973.40039,30029.74023,30029.74023,10700
28/04/2017,30064.59961,30067.64063,29848.21094,29918.40039,29918.40039,11300
02/05/2017,30021.49023,30069.24023,29804.11914,29921.17969,29921.17969,11700
03/05/2017,29984.94922,30020.58984,29846.57031,29894.80078,29894.80078,11300
04/05/2017,30069.7207,30169.94922,30007.40039,30126.21094,30126.21094,22300
05/05/2017,30142.14063,30176.55078,29823.59961,29858.80078,29858.80078,15900
08/05/2017,29915.11914,30016.03906,29877.41016,29926.15039,29926.15039,10000
09/05/2017,29977.5,30017.82031,29911.43945,29933.25,29933.25,8400
10/05/2017,29988.7793,30271.59961,29987.43945,30248.16992,30248.16992,11000
11/05/2017,30309.71094,30366.42969,30207.10938,30250.98047,30250.98047,10700
12/05/2017,30285.60938,30299.74023,30111.44922,30188.15039,30188.15039,11100
15/05/2017,30287.36914,30357.96094,30273.61914,30322.11914,30322.11914,8000
16/05/2017,30391.48047,30591.55078,30363.36914,30582.59961,30582.59961,13600
17/05/2017,30616.5293,30692.44922,30519.14063,30658.76953,30658.76953,14900
18/05/2017,30466.82031,30575.83008,30393.7207,30434.78906,30434.78906,16200
19/05/2017,30539.65039,30712.34961,30338.51953,30464.91992,30464.91992,13800
22/05/2017,30638.88086,30712.15039,30516.86914,30570.9707,30570.9707,11400
23/05/2017,30553.89063,30610.64063,30316.91992,30365.25,30365.25,18700
24/05/2017,30446.76953,30534.15039,30247.59961,30301.64063,30301.64063,11300
25/05/2017,30374.81055,30793.42969,30352.25977,30750.0293,30750.0293,10000
26/05/2017,30765.76953,31074.07031,30745.57031,31028.21094,31028.21094,14600
29/05/2017,30944.38086,31214.39063,30869.90039,31109.2793,31109.2793,14900
30/05/2017,31111.73047,31220.38086,31064.03906,31159.40039,31159.40039,9600
31/05/2017,31222.50977,31255.2793,31107.48047,31145.80078,31145.80078,13000
01/06/2017,31117.08984,31213.11914,31062.01953,31137.58984,31137.58984,8300
02/06/2017,31205.36914,31332.56055,31190.40039,31273.28906,31273.28906,8500
05/06/2017,31274.74023,31355.41992,31198.2207,31309.49023,31309.49023,9000
06/06/2017,31420.84961,31430.32031,31172.55078,31190.56055,31190.56055,13600
07/06/2017,31252.71094,31346.99023,31172.98047,31271.2793,31271.2793,9500
08/06/2017,31316.91016,31354.50977,31193.76953,31213.35938,31213.35938,14000
09/06/2017,31196.85938,31289.99023,31087.2793,31262.06055,31262.06055,9800
12/06/2017,31225.42969,31225.42969,31044.2793,31095.69922,31095.69922,6800
13/06/2017,31091.09961,31260.76953,31062.33984,31103.49023,31103.49023,13300
14/06/2017,31147.68945,31190.35938,31054.93945,31155.91016,31155.91016,12700
15/06/2017,31222.89063,31229.43945,31026.48047,31075.73047,31075.73047,12700
16/06/2017,31160.4707,31182.73047,31017.17969,31056.40039,31056.40039,13300
19/06/2017,31168.98047,31362.15039,31163.34961,31311.57031,31311.57031,7500
20/06/2017,31392.5293,31392.5293,31261.49023,31297.5293,31297.5293,8100
21/06/2017,31302.17969,31336.43945,31193.60938,31283.64063,31283.64063,35700
22/06/2017,31351.5293,31522.86914,31255.63086,31290.74023,31290.74023,10200
23/06/2017,31352.57031,31365.39063,31110.39063,31138.21094,31138.21094,89700
27/06/2017,31194.67969,31294.96094,30847.08008,30958.25,30958.25,15300
28/06/2017,30988.86914,31000.48047,30798.69922,30834.32031,30834.32031,9900
29/06/2017,30910.9707,31097.91992,30794.60938,30857.51953,30857.51953,12300
30/06/2017,30824.9707,30965.44922,30680.66016,30921.60938,30921.60938,9200
03/07/2017,31156.03906,31258.33008,31017.10938,31221.61914,31221.61914,8100
04/07/2017,31331.21094,31353.46094,31166.36914,31209.78906,31209.78906,8700
05/07/2017,31272.7207,31284.64063,31177.7793,31245.56055,31245.56055,6500
06/07/2017,31298.41992,31460.69922,31264.85938,31369.33984,31369.33984,10100
07/07/2017,31373.51953,31426.28906,31286.61914,31360.63086,31360.63086,6200
10/07/2017,31510.61914,31768.39063,31471.41016,31715.64063,31715.64063,37900
11/07/2017,31789.5,31885.10938,31718.48047,31747.08984,31747.08984,9100
12/07/2017,31813.24023,31865.68945,31731.42969,31804.82031,31804.82031,8300
13/07/2017,31896.23047,32091.51953,31892.63086,32037.38086,32037.38086,10500
14/07/2017,32099.92969,32109.75,31897.86914,32020.75,32020.75,7200
17/07/2017,32053.98047,32131.91992,32037.21094,32074.7793,32074.7793,10300
18/07/2017,31775.53906,31911.60938,31626.43945,31710.99023,31710.99023,21600
19/07/2017,31882.80078,31978.89063,31793.7207,31955.34961,31955.34961,11300
20/07/2017,32033.82031,32057.11914,31859.5,31904.40039,31904.40039,11200
21/07/2017,32035.88086,32062.23047,31808.92969,32028.89063,32028.89063,18000
24/07/2017,32100.2207,32320.85938,32058.33008,32245.86914,32245.86914,11500
25/07/2017,32350.71094,32374.30078,32196.85938,32228.26953,32228.26953,14100
26/07/2017,32255.99023,32413.63086,32226.08008,32382.46094,32382.46094,12400
27/07/2017,32519.43945,32672.66016,32325.33008,32383.30078,32383.30078,10900
28/07/2017,32381.35938,32381.35938,32104.66016,32309.88086,32309.88086,11300
31/07/2017,32412.19922,32546.5,32324.44922,32514.93945,32514.93945,13100
01/08/2017,32579.80078,32632.01953,32462.25,32575.16992,32575.16992,9000
02/08/2017,32641.58008,32686.48047,32394.89063,32476.74023,32476.74023,10500
03/08/2017,32502.55078,32502.55078,32194.58008,32237.88086,32237.88086,12600
04/08/2017,32191.11914,32352.18945,32107.99023,32325.41016,32325.41016,11300
07/08/2017,32377.80078,32396.14063,32235.82031,32273.66992,32273.66992,10400
08/08/2017,32341.05078,32354.76953,31915.19922,32014.18945,32014.18945,9400
09/08/2017,31926.14063,31967.2793,31731.91016,31797.83984,31797.83984,9300
10/08/2017,31750.73047,31756.26953,31422.80078,31531.33008,31531.33008,13000
11/08/2017,31355.91992,31379.19922,31128.01953,31213.58984,31213.58984,15200
14/08/2017,31299.51953,31526.40039,31298.90039,31449.0293,31449.0293,9700
16/08/2017,31566.24023,31805.99023,31399.34961,31770.89063,31770.89063,12500
17/08/2017,31919.16992,31937.50977,31714.09961,31795.46094,31795.46094,8500
18/08/2017,31729.88086,31729.88086,31349.13086,31524.67969,31524.67969,16400
21/08/2017,31609.92969,31641.81055,31220.5293,31258.84961,31258.84961,23600
22/08/2017,31393.92969,31484.2793,31241.5,31291.84961,31291.84961,10800
23/08/2017,31407.4707,31593.39063,31379.25,31568.00977,31568.00977,10000
24/08/2017,31673.43945,31678.18945,31546.05078,31596.06055,31596.06055,8900
28/08/2017,31756.86914,31809.69922,31701.66992,31750.82031,31750.82031,10100
29/08/2017,31724.83984,31739.80078,31360.81055,31388.39063,31388.39063,6800
30/08/2017,31534.57031,31727.98047,31533.01953,31646.46094,31646.46094,5400
31/08/2017,31685.43945,31757.17969,31551.84961,31730.49023,31730.49023,17900
01/09/2017,31769.33984,31944.09961,31707.26953,31892.23047,31892.23047,6600
04/09/2017,31932.19922,31932.19922,31560.32031,31702.25,31702.25,7600
05/09/2017,31755.16016,31863.4707,31674.23047,31809.55078,31809.55078,8000
06/09/2017,31713.5,31727.84961,31586.5293,31661.9707,31661.9707,7400
07/09/2017,31738.74023,31814.96094,31620.43945,31662.74023,31662.74023,10200
08/09/2017,31694.15039,31763.69922,31619,31687.51953,31687.51953,7800
11/09/2017,31798.31055,31952.86914,31797.89063,31882.16016,31882.16016,8700
12/09/2017,32029.15039,32172.46094,31950.24023,32158.66016,32158.66016,7000
13/09/2017,32188.94922,32348.30078,32126.76953,32186.41016,32186.41016,8900
14/09/2017,32289.25977,32328.60938,32186.83984,32241.92969,32241.92969,9100
15/09/2017,32207.63086,32356.10938,32138.38086,32272.60938,32272.60938,8900
18/09/2017,32361.36914,32508.06055,32361.25,32423.75977,32423.75977,9500
19/09/2017,32522.43945,32524.10938,32358.63086,32402.36914,32402.36914,57400
20/09/2017,32467.09961,32499.88086,32383.82031,32400.50977,32400.50977,10500
21/09/2017,32406.41992,32462.60938,32164.41992,32370.03906,32370.03906,8700
22/09/2017,32339.5,32342.81055,31886.08984,31922.43945,31922.43945,9600
25/09/2017,31986.40039,32016.51953,31474.56055,31626.63086,31626.63086,12200
26/09/2017,31685.81055,31693.58984,31455.65039,31599.75977,31599.75977,10000
27/09/2017,31785.24023,31797.46094,31100.80078,31159.81055,31159.81055,9800
28/09/2017,31216.35938,31340.91016,31081.83008,31282.48047,31282.48047,8300
29/09/2017,31367.25,31523.86914,31243.71094,31283.7207,31283.7207,7700
03/10/2017,31537.81055,31615.2793,31440.48047,31497.38086,31497.38086,7100
04/10/2017,31522.16992,31752.16016,31457.7793,31671.71094,31671.71094,5900
05/10/2017,31725.84961,31772.41016,31562.25,31592.0293,31592.0293,5900
06/10/2017,31633.33984,31844.2793,31632.81055,31814.2207,31814.2207,8300
09/10/2017,31862.19922,31935.63086,31781.75,31846.89063,31846.89063,5800
10/10/2017,31910.82031,31994.76953,31896.90039,31924.41016,31924.41016,7200
11/10/2017,31975.58984,32098.46094,31769.40039,31833.99023,31833.99023,8600
12/10/2017,31887.4707,32209.0293,31813.66992,32182.2207,32182.2207,7800
13/10/2017,32247.74023,32508.58984,32247.74023,32432.68945,32432.68945,15500
16/10/2017,32488.23047,32687.32031,32445.42969,32633.64063,32633.64063,9200
17/10/2017,32654.41016,32699.85938,32556.74023,32609.16016,32609.16016,5500
18/10/2017,32518.56055,32670.32031,32462.84961,32584.34961,32584.34961,14100
19/10/2017,32656.75,32663.06055,32319.36914,32389.96094,32389.96094,2500
23/10/2017,32411.85938,32614.89063,32312.74023,32506.7207,32506.7207,8400
24/10/2017,32619.25977,32670.36914,32502.08008,32607.33984,32607.33984,8400
25/10/2017,32995.28125,33117.32813,32804.60156,33042.5,33042.5,29900
26/10/2017,33025.17188,33196.17188,32835.05859,33147.12891,33147.12891,15500
27/10/2017,33228.32031,33286.51172,33109.41016,33157.21875,33157.21875,18300
30/10/2017,33260.10156,33340.17188,33206.92969,33266.16016,33266.16016,14000
31/10/2017,33254.92969,33294.30078,33164.28125,33213.12891,33213.12891,11500
01/11/2017,33344.23047,33651.51953,33340.62109,33600.26953,33600.26953,14200
02/11/2017,33615.83984,33657.57031,33527,33573.21875,33573.21875,12400
03/11/2017,33667.33984,33733.71094,33531.94141,33685.55859,33685.55859,199700
06/11/2017,33710.14844,33848.42188,33582.37891,33731.19141,33731.19141,13100
07/11/2017,33781.01172,33865.94922,33341.82031,33370.76172,33370.76172,16300
08/11/2017,33417.35156,33484.69922,33157.67969,33218.80859,33218.80859,283000
09/11/2017,33376.62109,33463.80078,33111.53906,33250.92969,33250.92969,14100
10/11/2017,33235.75,33380.42188,33108.08984,33314.55859,33314.55859,21200
13/11/2017,33397.41016,33417.30078,32999.98047,33033.55859,33033.55859,18200
14/11/2017,32990.03125,33126.55078,32907.10938,32941.87109,32941.87109,12000
15/11/2017,32944.94141,32944.94141,32683.58984,32760.43945,32760.43945,11300
16/11/2017,32829.82031,33165.14844,32829.82031,33106.82031,33106.82031,9600
17/11/2017,33388.46875,33520.82031,33278.91016,33342.80078,33342.80078,11300
20/11/2017,33365.83984,33449.53125,33288.21094,33359.89844,33359.89844,7900
21/11/2017,33438.28125,33625.05078,33437.60938,33478.35156,33478.35156,14800
22/11/2017,33569.07031,33654.53125,33465.23047,33561.55078,33561.55078,13100
23/11/2017,33575.91016,33670.19141,33468.30078,33588.07813,33588.07813,7100
24/11/2017,33670,33738.53125,33639.98047,33679.23828,33679.23828,7800
27/11/2017,33640.51172,33745.17188,33540.46094,33724.44141,33724.44141,8900
28/11/2017,33726.64844,33770.14844,33576.64844,33618.58984,33618.58984,8100
29/11/2017,33664.26953,33728.80859,33553.12109,33602.76172,33602.76172,6600
30/11/2017,33542.5,33576.19922,33108.71875,33149.35156,33149.35156,7400
01/12/2017,33247.66016,33300.80859,32797.78125,32832.94141,32832.94141,9200
04/12/2017,32968.01953,33008.46875,32785.76172,32869.71875,32869.71875,9600
05/12/2017,32814.03125,32893.05078,32682.51953,32802.44141,32802.44141,8600
06/12/2017,32798.5,32804.75,32565.16016,32597.17969,32597.17969,9600
07/12/2017,32615.05078,32992.44922,32598.11914,32949.21094,32949.21094,9500
08/12/2017,33034.19922,33285.67969,33034.19922,33250.30078,33250.30078,14200
11/12/2017,33317.71875,33535.96875,33313.17188,33455.78906,33455.78906,12000
12/12/2017,33426.58984,33458.41016,33179.75,33227.98828,33227.98828,8200
13/12/2017,33229.73047,33404.26172,32988.82031,33053.03906,33053.03906,24500
14/12/2017,33114.69141,33321.51953,32886.92969,33246.69922,33246.69922,11200
15/12/2017,33456.01953,33621.96094,33405.82031,33462.96875,33462.96875,24200
18/12/2017,33364.51953,33801.89844,32595.63086,33601.67969,33601.67969,21100
19/12/2017,33732.07813,33862.07031,33666.62109,33836.73828,33836.73828,20600
20/12/2017,33928.58984,33956.30859,33754.94141,33777.37891,33777.37891,7100
21/12/2017,33826.25,33860.98828,33707.80078,33756.28125,33756.28125,9900
22/12/2017,33768.46875,33964.28125,33767.73047,33940.30078,33940.30078,7800
26/12/2017,33980.76172,34061.87891,33889.75,34010.60938,34010.60938,12900
27/12/2017,34087.32031,34137.96875,33839.51172,33911.80859,33911.80859,10900
28/12/2017,33928.85938,34023.64844,33752.03125,33848.03125,33848.03125,9500
29/12/2017,33889.39063,34086.05078,33889.39063,34056.82813,34056.82813,12100
01/01/2018,34059.98828,34101.12891,33766.14844,33812.75,33812.75,7500
02/01/2018,33913.55078,33964.14063,33703.37109,33812.26172,33812.26172,10600
03/01/2018,33929.60938,33998.37109,33765.42969,33793.37891,33793.37891,9000
04/01/2018,33912.48828,33995.39844,33802.12891,33969.64063,33969.64063,10500
05/01/2018,34021.26953,34188.85156,34020.83984,34153.85156,34153.85156,14700
08/01/2018,34216.32813,34385.67188,34216.32813,34352.78906,34352.78906,13500
09/01/2018,34431.60938,34488.03125,34343.41016,34443.19141,34443.19141,11200
10/01/2018,34538.78125,34565.62891,34311.62891,34433.07031,34433.07031,8500
11/01/2018,34471.48047,34558.87891,34400.60938,34503.48828,34503.48828,8100
12/01/2018,34578.98828,34638.42188,34342.16016,34592.39063,34592.39063,7800
15/01/2018,34687.21094,34963.69141,34687.21094,34843.51172,34843.51172,14600
16/01/2018,34877.71094,34936.03125,34735.55078,34771.05078,34771.05078,53600
17/01/2018,34753.80078,35118.60938,34700.82031,35081.82031,35081.82031,35000
18/01/2018,35366.44922,35507.35938,35166.44141,35260.28906,35260.28906,15700
19/01/2018,35339.10938,35542.17188,35221.16016,35511.57813,35511.57813,35200
22/01/2018,35613.96875,35827.69922,35544.67969,35798.01172,35798.01172,13700
23/01/2018,35868.19141,36170.82813,35863.98047,36139.98047,36139.98047,27000
24/01/2018,36161.62109,36268.19141,36036.51172,36161.64063,36161.64063,25200
25/01/2018,36208.39063,36247.01953,35823.35156,36050.44141,36050.44141,15100
29/01/2018,36106.35938,36443.98047,36093.35938,36283.25,36283.25,16900
